Timestamp,Week,Node,Cell,PRB_Usage_Percentage
2024-05-22 13:00:00,2024-20,BTA El Ensueno,B7_8,70.184
2024-05-21 20:00:00,2024-20,BTA El Ensueno,B7_8,70.1234
2024-05-22 11:00:00,2024-20,BTA El Ensueno,B7_8,68.7258
2024-05-25 16:00:00,2024-20,BTA El Ensueno,B7_8,68.6588
2024-05-21 19:00:00,2024-20,BTA El Ensueno,B7_8,66.8778
2024-05-21 18:00:00,2024-20,BTA El Ensueno,B7_8,66.1676
2024-05-25 19:00:00,2024-20,BTA El Ensueno,B7_8,65.1754
2024-05-25 15:00:00,2024-20,BTA El Ensueno,B7_8,65.111
2024-05-21 22:00:00,2024-20,BTA El Ensueno,B7_8,64.3518
2024-05-25 20:00:00,2024-20,BTA El Ensueno,B7_8,64.173
2024-05-23 18:00:00,2024-20,BTA El Ensueno,B7_8,64.0146
2024-05-25 10:00:00,2024-20,BTA El Ensueno,B7_8,63.9308
2024-05-25 23:00:00,2024-20,BTA El Ensueno,B7_8,63.15120000000001
2024-05-20 23:00:00,2024-20,BTA El Ensueno,B7_8,63.024800000000006
2024-05-20 21:00:00,2024-20,BTA El Ensueno,B7_9,90.1332
2024-05-20 20:00:00,2024-20,BTA El Ensueno,B7_9,89.5178
2024-05-22 20:00:00,2024-20,BTA El Ensueno,B7_9,83.0586
2024-05-22 18:00:00,2024-20,BTA El Ensueno,B7_9,82.9016
2024-05-23 20:00:00,2024-20,BTA El Ensueno,B7_9,81.7276
2024-05-23 21:00:00,2024-20,BTA El Ensueno,B7_9,81.2674
2024-05-20 18:00:00,2024-20,BTA El Ensueno,B7_9,80.4618
2024-05-22 22:00:00,2024-20,BTA El Ensueno,B7_9,80.1296
2024-05-22 21:00:00,2024-20,BTA El Ensueno,B7_9,79.5954
2024-05-22 17:00:00,2024-20,BTA El Ensueno,B7_9,79.1966
2024-05-24 21:00:00,2024-20,BTA El Ensueno,B7_9,79.026
2024-05-20 19:00:00,2024-20,BTA El Ensueno,B7_9,78.4928
2024-05-25 10:00:00,2024-20,BTA El Ensueno,B7_9,78.1416
2024-05-25 18:00:00,2024-20,BTA El Ensueno,B7_9,77.7812
2024-05-23 22:00:00,2024-20,BTA El Ensueno,B7_9,77.1652
2024-05-21 19:00:00,2024-20,BTA El Ensueno,B7_9,76.8042
2024-05-25 20:00:00,2024-20,BTA El Ensueno,B7_9,76.0142
2024-05-25 09:00:00,2024-20,BTA El Ensueno,B7_9,75.4766
2024-05-23 19:00:00,2024-20,BTA El Ensueno,B7_9,75.0296
2024-05-22 19:00:00,2024-20,BTA El Ensueno,B7_9,74.041
2024-05-25 19:00:00,2024-20,BTA El Ensueno,B7_9,73.7192
2024-05-20 17:00:00,2024-20,BTA El Ensueno,B7_9,73.1388
2024-05-24 20:00:00,2024-20,BTA El Ensueno,B7_9,73.1374
