timestamp,node_name,cell_name,l_traffic_activeuser_dl_avg,l_traffic_activeuser_dl_max,l_traffic_activeuser_ul_avg,l_traffic_activeuser_dl_max_1,l_traffic_user_avg,l_traffic_user_max,l_chmeas_prb_dl_avail,l_chmeas_prb_dl_used_avg,l_chmeas_prb_ul_avail,l_chmeas_prb_ul_used_avg,l_thrp_bits_dl,l_thrp_bits_ul,dl_prb_usage,ul_prb_usage,user_exp
2024-05-20 11:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,1.7789,11,1.1669,10,14.749,27,50,37.7211,50,12.0877,20640504104,1065779152,75.4422,24.1754,3.5448500950210717
2024-05-20 11:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,1.1691,9,0.8125,8,28.3127,41,50,22.1234,50,13.7176,28280513904,2551516880,44.2468,27.4352,12.004438232565075
2024-05-20 11:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,3.8913,22,2.1157,13,61.7131,84,50,41.5874,50,22.1751,67771402584,6047034896,83.1748,44.3502,7.007783895727322
2024-05-20 11:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,0.863,9,0.6058,7,11.3466,21,50,23.7491,50,8.8424,15866669736,1385429328,47.4982,17.6848,6.985612491301162
2024-05-20 11:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_9,0.9181,10,0.5818,7,23.797,36,50,21.6176,50,12.9336,22500480672,2062878152,43.2352,25.8672,9.594290155237836
2024-05-20 11:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,2.3391,13,1.5971,11,38.4493,56,50,36.3121,50,18.5161,38377587768,2887678480,72.6242,37.0322,6.309506819174671
2024-05-20 11:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,0.7638,7,0.9672,7,13.1164,24,50,20.0418,50,10.7185,18161385944,2242449056,40.0836,21.437,9.492312412095384
2024-05-20 11:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,0.8312,9,0.5708,7,14.489,26,50,17.9068,50,11.1183,15544421128,1141112040,35.8136,22.2366,8.139989502881114
2024-05-20 11:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,2.137,13,1.5383,9,15.5329,25,50,36.2729,50,14.271,22667196848,1650168232,72.5458,28.542,3.602414678248917
2024-05-20 12:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,3.8493,17,1.8477,12,37.2706,52,50,41.9674,50,20.3816,37119454584,3333202232,83.9348,40.7632,3.108830447525684
